KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2,AREA,YEAR
11,68,38,7,819,4061,S,03F,7d,4S,Bl,0,2,,,50,,449,68,,1,266,266,54,38,2,5,1968
11,68,38,7,2137,4062,V,10C,8i,2H,Vr,0,1,,1,58,,151,68,,1,266,266,54,38,1,3,1968
11,68,39,1,2138,4063,V,10C,8i,2H,Vr,2,2,1,,62,,151,66,,1,997,267,54,39,2,3,1968
11,68,38,1,1844,4064,S,10E,7c,2H,Vr,4,1,,1,71,,46,64,,1,1720,260,52,38,1,3,1968
11,68,37,7,538,4065,S,10E,7c,2H,Vr,3,1,,1,60,,46,65,,1,1354,259,52,37,1,3,1968
11,68,38,3,1845,4066,S,09H,4c,3U,So,1,1,,1,61,,125,67,,1,627,262,53,38,1,4,1968
11,68,38,4,1933,4067,S,10C,8i,2H,Vr,0,1,,1,58,,151,68,,1,263,263,53,38,1,3,1968
11,68,38,3,610,4068,S,09H,4c,3U,So,0,2,1,,58,,125,68,,1,262,262,53,38,2,4,1968
11,68,38,2,1846,4069,S,09H,4c,3U,So,0,1,,1,63,,125,68,,1,261,261,53,38,1,4,1968
11,68,39,7,1026,4070,D,11I,3h,3U,Up,0,1,,1,55,,373,68,,1,273,273,55,39,1,4,1968
11,68,39,6,611,4071,S,02C,3i,4S,Sk,0,1,,1,64,,387,68,,1,272,272,55,39,1,5,1968
11,68,39,6,612,4072,S,02C,3i,4S,Sk,0,1,,1,72,,387,68,,1,272,272,55,39,1,5,1968
11,68,39,6,431,4073,T,11H,4h,3U,Up,0,2,1,,55,,174,68,,1,272,272,55,39,2,4,1968
11,68,40,2,1750,4074,L,03E,7e,4S,Bl,0,2,1,,48,,416,68,,1,275,275,55,40,2,5,1968
11,68,39,7,613,4075,D,10D,8h,2H,Vr,2,2,1,,64,,95,66,,1,1003,273,55,39,2,3,1968
11,68,40,4,614,4076,S,09H,4c,3U,So,0,1,,1,80,,125,68,,1,277,277,56,40,1,4,1968
